#,id,house_type,house_floor,house_direction,house_area,house_structure,transaction_type,transaction_time,house_decoration,is_elevator,house_year,house_loc,house_position,u_price,t_price,detail_url,green_rate
71,50,4室2厅1厨2卫,高楼层(共14层),南,184.85,平层,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,51123,945,https://sh.lianjia.com/chengjiao/107010055033.html,0.35
72,51,2室2厅1厨1卫,中楼层(共20层),南,91.41,平层,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,74391,680,https://sh.lianjia.com/chengjiao/107010081245.html,0.35
73,52,4室2厅1厨2卫,高楼层(共14层),南,184.67,暂无数据,成交,1970-01-01,其他,有,2012,仁恒森兰雅苑(一期),,66606,1230,https://sh.lianjia.com/chengjiao/107010090128.html,0.35
74,53,2室2厅1厨1卫,高楼层(共20层),南,91.41,平层,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,74938,685,https://sh.lianjia.com/chengjiao/107010077560.html,0.35
75,54,4室2厅1厨2卫,中楼层(共14层),南,184.85,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,67623,1250,https://sh.lianjia.com/chengjiao/107010079080.html,0.35
76,55,3室2厅1厨2卫,低楼层(共20层),南,151.72,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,72371,1098,https://sh.lianjia.com/chengjiao/107010088486.html,0.35
77,56,2室2厅1厨1卫,中楼层(共20层),南,91.41,平层,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,78766,720,https://sh.lianjia.com/chengjiao/107010088504.html,0.35
78,57,2室2厅1厨2卫,高楼层(共20层),暂无数据,91.34,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,75542,690,https://sh.lianjia.com/chengjiao/107010073827.html,0.35
79,58,4室3厅1厨3卫,中楼层(共9层),南,348.48,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,43045,1500,https://sh.lianjia.com/chengjiao/107010062853.html,0.35
80,59,5室2厅1厨3卫,高楼层(共14层),南,285.6,复式,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,56023,1600,https://sh.lianjia.com/chengjiao/107010068015.html,0.35
81,60,4室2厅1厨2卫,高楼层(共14层),南,184.85,平层,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,59238,1095,https://sh.lianjia.com/chengjiao/107010058392.html,0.35
82,61,4室2厅1厨3卫,低楼层(共14层),南,186.54,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,48516,905,https://sh.lianjia.com/chengjiao/107010047944.html,0.35
83,62,4室2厅1厨2卫,高楼层(共14层),南,186.54,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,50928,950,https://sh.lianjia.com/chengjiao/107010046126.html,0.35
84,63,4室2厅1厨2卫,中楼层(共14层),南,183.84,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,49935,918,https://sh.lianjia.com/chengjiao/107010044690.html,0.35
85,64,4室2厅1厨2卫,高楼层(共14层),南,186.54,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,44388,828,https://sh.lianjia.com/chengjiao/107010026133.html,0.35
86,65,4室2厅1厨2卫,中楼层(共14层),南,185.32,暂无数据,成交,1970-01-01,其他,有,2012,仁恒森兰雅苑(一期),,47216,875,https://sh.lianjia.com/chengjiao/107010031827.html,0.35
87,66,5室2厅1厨4卫,中楼层 (共14层),南,335.4,复式,挂牌,2024-08-05,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,99881,3350,https://sh.lianjia.com/ershoufang/107110433275.htm,0.35
88,67,4室3厅2厨5卫,低楼层 (共2层),南,419.15,复式,挂牌,2024-11-29,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,83026,3480,https://sh.lianjia.com/ershoufang/107111463298.htm,0.35
89,68,5室2厅1厨4卫,低楼层 (共14层),南,334.34,复式,挂牌,2024-06-17,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,83718,2799,https://sh.lianjia.com/ershoufang/107110013824.htm,0.35
90,69,4室2厅1厨4卫,中楼层 (共20层),南,208.12,平层,挂牌,2024-07-31,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,91246,1899,https://sh.lianjia.com/ershoufang/107110380253.htm,0.35
91,70,4室2厅1厨2卫,低楼层 (共14层),南,185.32,平层,挂牌,2024-06-22,精装,有,2012,仁恒森兰雅苑(一期),浦东 高行 中环至外环,112670,2088,https://sh.lianjia.com/ershoufang/107110052322.htm,0.35
92,71,2室2厅1厨1卫,低楼层 (共20层),南,91.34,平层,挂牌,2025-01-16,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,93059,850,https://sh.lianjia.com/ershoufang/107111846701.htm,0.35
93,72,4室2厅1厨2卫,低楼层 (共14层),南 北,186.54,平层,挂牌,2024-07-05,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,93814,1750,https://sh.lianjia.com/ershoufang/107110161958.htm,0.35
94,73,5室3厅1厨4卫,低楼层 (共2层),南,587.47,复式,挂牌,2024-07-17,精装,无,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,64685,3800,https://sh.lianjia.com/ershoufang/107110263309.htm,0.35
95,74,5室3厅1厨5卫,低楼层 (共2层),南 北,419.71,复式,挂牌,2024-11-01,精装,有,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,83391,3500,https://sh.lianjia.com/ershoufang/107111220209.htm,0.35
96,75,5室2厅1厨4卫,低楼层 (共2层),南,418.75,复式,挂牌,2024-04-01,精装,无,2013,仁恒森兰雅苑(一期),浦东 高行 中环至外环,83583,3500,https://sh.lianjia.com/ershoufang/107109403762.htm,0.35
